transaction_amount,transaction_type,account_balance,device_type,location,merchant_category,daily_transaction_count,avg_transaction_amount_7d,failed_transaction_count_7d,card_type,card_age,transaction_distance,authentication_method,is_weekend,fraud_label,hour,day,month,day_of_week
39.79,3,93213.17,0,3,4,7,437.63,3,0,65,883.17,0,0,0,19,14,8,0
254.32,0,76807.2,2,2,0,8,182.48,4,3,76,1311.86,1,0,1,0,7,12,3
31.28,3,92354.66,1,1,1,14,328.69,4,2,140,966.98,3,1,1,23,11,11,5
168.55,2,33236.94,0,4,3,3,226.85,2,1,51,1725.64,1,0,0,20,5,6,0
3.79,3,86834.18,2,0,3,2,298.35,2,2,168,3757.19,3,0,0,1,7,11,1
7.08,0,45826.27,2,0,3,3,164.38,4,1,182,1764.66,0,0,1,3,25,2,5
34.25,0,94392.35,2,4,0,7,90.02,3,3,24,550.38,0,1,0,22,9,3,3
16.24,3,91859.97,1,1,4,6,474.42,1,2,124,720.91,2,0,0,17,20,9,2
367.5,3,14640.09,0,1,1,4,397.58,0,0,136,292.36,2,0,0,7,11,4,1
50.44,0,19962.22,0,0,4,14,278.55,1,1,131,3993.62,2,0,0,8,6,8,6
55.5,0,89664.63,0,0,2,6,483.58,4,1,192,3721.54,1,0,1,3,20,7,3
54.09,1,51287.15,1,3,1,11,152.63,2,0,91,1061.27,2,0,0,20,17,11,4
9.66,2,12420.17,2,2,1,6,173.97,0,2,5,762.21,1,1,0,17,20,6,1
37.11,3,92977.91,2,3,1,12,457.42,3,3,135,395.36,0,1,0,8,21,12,3
19.37,1,34416.01,2,0,4,9,163.5,3,1,129,4436.61,2,0,0,4,29,4,5
22.02,0,55851.38,1,3,1,13,179.73,3,3,204,633.99,2,1,0,4,28,12,3
203.97,0,73616.91,1,2,3,4,482.2,4,2,173,4723.22,3,1,1,23,18,6,6
55.35,3,88292.27,2,3,1,12,283.43,0,3,80,625.67,2,1,0,16,11,5,3
17.17,0,71983.33,1,3,1,2,36.46,2,2,165,3402.37,2,0,0,7,25,11,5
72.33,0,29954.64,1,3,0,3,233.6,4,1,120,3956.54,3,1,1,21,14,8,0
195.76,2,85000.68,2,1,4,14,226.9,1,2,65,4045.87,2,1,0,19,28,11,1
8.06,0,38155.13,0,3,4,9,298.73,4,2,232,1819.59,3,0,1,22,9,7,6
73.34,1,72060.59,0,0,0,9,434.91,2,3,92,4779.55,0,0,0,13,20,4,3
9.82,1,39996.92,1,3,1,13,42.42,2,1,152,2772.48,3,0,1,14,8,11,2
197.21,2,32472.3,0,3,1,14,268.08,0,3,225,1947.0,2,0,1,17,29,4,5
